iter	MultiClass
0	2.091204253
1	1.933637131
2	1.815949975
3	1.728808928
4	1.659245627
5	1.601215443
6	1.552369678
7	1.509216016
8	1.476707012
9	1.445918012
10	1.416880901
11	1.391206356
12	1.364001256
13	1.346168745
14	1.328906316
15	1.314663239
16	1.298757948
17	1.284680631
18	1.272271769
19	1.258113281
20	1.246444443
21	1.236860291
22	1.22894091
23	1.222024494
24	1.210053744
25	1.201730653
26	1.195383092
27	1.185808854
28	1.179352721
29	1.169853474
30	1.164186156
31	1.1556639
32	1.151087076
33	1.14682703
34	1.142417177
35	1.136751085
36	1.134557995
37	1.131098327
38	1.124097879
39	1.114839624
40	1.109779731
41	1.108395676
42	1.10545036
43	1.103676689
44	1.10180986
45	1.100055447
46	1.093811019
47	1.092910001
48	1.090288718
49	1.088358165
50	1.082977548
51	1.082094814
52	1.078815355
53	1.076125387
54	1.074256957
55	1.073201189
56	1.071981792
57	1.069258576
58	1.067624535
59	1.065690186
60	1.063557554
61	1.061842603
62	1.061221068
63	1.057779171
64	1.055351149
65	1.052422238
66	1.050777362
67	1.046801155
68	1.044646462
69	1.0441073
70	1.042990632
71	1.041192788
72	1.0404119
73	1.036767301
74	1.036115155
75	1.035485306
76	1.035350577
77	1.032691078
78	1.031050829
79	1.029945264
80	1.028941556
81	1.02679061
82	1.024407946
83	1.021904945
84	1.0205268
85	1.020205776
86	1.018842908
87	1.017771891
88	1.01695402
89	1.014409375
90	1.013744944
91	1.013314146
92	1.012525996
93	1.011100138
94	1.009742039
95	1.008241116
96	1.006739469
97	1.004680079
98	1.002843715
99	1.001927224
100	0.9990294158
101	0.9957439295
102	0.993194396
103	0.9924848695
104	0.9919612289
105	0.9894305946
106	0.9882823309
107	0.9878379553
108	0.9866553989
109	0.9855798972
110	0.9849197943
111	0.9832359624
112	0.9820130804
113	0.9803618474
114	0.9785502271
115	0.9771666332
116	0.9752241935
117	0.974530384
118	0.9722231275
119	0.9716601489
120	0.969711416
121	0.9676018295
122	0.9667755783
123	0.9658431179
124	0.9654678354
125	0.9645370389
126	0.9628290205
127	0.9615176751
128	0.9592700289
129	0.9589322446
130	0.9577405715
131	0.9561873628
132	0.9550650147
133	0.9535724851
134	0.9533550585
135	0.9505035153
136	0.9490189969
137	0.9481752243
138	0.947029509
139	0.9465771501
140	0.9460766958
141	0.9454984694
142	0.9437169615
143	0.9429144736
144	0.94188576
145	0.9411866681
146	0.9394050654
147	0.9380700213
148	0.9373966711
149	0.9368474009
150	0.9349339074
151	0.9345443163
152	0.9342021722
153	0.9332178941
154	0.9324202614
155	0.9304338982
156	0.930025263
157	0.9293753675
158	0.9291108557
159	0.928389528
160	0.9273877264
161	0.9268844508
162	0.9252396933
163	0.9238019195
164	0.9235675172
165	0.9216224538
166	0.9212620011
167	0.9197538758
168	0.9190683156
169	0.9187894138
170	0.9179882405
171	0.9172457733
172	0.9164029867
173	0.9158995315
174	0.9146989127
175	0.913674834
176	0.9128446296
177	0.9115975336
178	0.9111731159
179	0.9108616563
180	0.9104248111
181	0.9091057054
182	0.9086380028
183	0.908407521
184	0.9071675512
185	0.9068097893
186	0.906456986
187	0.905447857
188	0.9042162677
189	0.9038221337
190	0.903442171
191	0.9029990015
192	0.9024246545
193	0.9022580859
194	0.9014821876
195	0.9003559144
196	0.8989165471
197	0.8984575912
198	0.8982413871
199	0.8972312425
200	0.8963206211
201	0.8959257158
202	0.8951616133
203	0.8947497729
204	0.8939695676
205	0.8933496629
206	0.8929576807
207	0.892048161
208	0.8908620052
209	0.8896222622
210	0.8889668283
211	0.8885710893
212	0.8877028514
213	0.8873338007
214	0.8869880712
215	0.8858267137
216	0.8855920499
217	0.8851464549
218	0.8846761757
219	0.8838016663
220	0.8836416501
221	0.8826154783
222	0.8821653611
223	0.8815524314
224	0.8806459686
225	0.8798688078
226	0.8793093749
227	0.8788718798
228	0.8786238752
229	0.878189265
230	0.8777164155
231	0.8773745182
232	0.8769590978
233	0.8763411249
234	0.8758676352
235	0.8753754345
236	0.8749498342
237	0.8747268493
238	0.8728527922
239	0.8723155522
240	0.8718287684
241	0.8711930801
242	0.8707390047
243	0.8704313087
244	0.8698550196
245	0.8689209384
246	0.8681037497
247	0.8679414258
248	0.8673151267
249	0.866575476
250	0.865735584
251	0.8648723089
252	0.8639026546
253	0.8629807408
254	0.8628182153
255	0.8623458048
256	0.862030856
257	0.8617069025
258	0.8613603005
259	0.8605240962
260	0.8604352288
261	0.8598292182
262	0.859275016
263	0.8580786948
264	0.8575434004
265	0.8567402313
266	0.8562836142
267	0.8557185683
268	0.8552179263
269	0.854348033
270	0.8541325136
271	0.8525650599
272	0.8521486987
273	0.8514443653
274	0.849915458
275	0.8489615076
276	0.8483770991
277	0.8479413678
278	0.847458591
279	0.8472645966
280	0.8467889008
281	0.8465811063
282	0.846287345
283	0.8461488021
284	0.8456726906
285	0.8445849621
286	0.8441913997
287	0.8431826445
288	0.8429273086
289	0.842766169
290	0.8423454603
291	0.842144396
292	0.8415802623
293	0.8414593121
294	0.8409717692
295	0.8406906704
296	0.8402962624
297	0.8400647118
298	0.8398536449
299	0.8396502763
300	0.8386744296
301	0.8375258831
302	0.8370327542
303	0.8367517923
304	0.8364000259
305	0.8355441838
306	0.8353699875
307	0.835195114
308	0.8347008507
309	0.834461979
310	0.8340694049
311	0.8336437442
312	0.8334187279
313	0.8323623869
314	0.8319693024
315	0.8317125352
316	0.8310044642
317	0.8306390202
318	0.8304441046
319	0.8295778142
320	0.8293840222
321	0.8292209471
322	0.8287656276
323	0.8278255859
324	0.8276248422
325	0.8270813577
326	0.8268782503
327	0.8255620471
328	0.8248345956
329	0.8238905112
330	0.822933909
331	0.8225365373
332	0.8221564088
333	0.8210671271
334	0.8199692624
335	0.8197173506
336	0.8195449209
337	0.8194209361
338	0.8184640339
339	0.8182472625
340	0.8173279222
341	0.8163793003
342	0.8157691854
343	0.8149876412
344	0.8147141149
345	0.8142769906
346	0.8139561685
347	0.8137591671
348	0.8127074205
349	0.8122549828
350	0.8113639439
351	0.8107032639
352	0.8098390228
353	0.8095364949
354	0.8091650078
355	0.8082017873
356	0.8074288222
357	0.807072881
358	0.806929388
359	0.8068057956
360	0.8059055532
361	0.8057325992
362	0.8050655387
363	0.8048486864
364	0.8047236427
365	0.8045449121
366	0.8037231041
367	0.8032587144
368	0.8025113801
369	0.8023609547
370	0.80222015
371	0.8015149755
372	0.8013462082
373	0.8006873405
374	0.800512183
375	0.8004251222
376	0.8003361854
377	0.7998161635
378	0.7995490037
379	0.7991733107
380	0.7986545139
381	0.7982557445
382	0.7974442647
383	0.7966093061
384	0.7961691692
385	0.7959479331
386	0.7957278031
387	0.7955123333
388	0.7950315811
389	0.7948139419
390	0.794292266
391	0.793935114
392	0.7934898994
393	0.7932245365
394	0.7929605616
395	0.7926961385
396	0.7925467632
397	0.7919607604
398	0.7916850128
399	0.7915370827
400	0.7912917711
401	0.7906250728
402	0.7903748371
403	0.7901071405
404	0.7895558501
405	0.7893336251
