iter	Passed	Remaining
0	515	514648
1	901	449739
2	1367	454520
3	1906	474606
4	2353	468275
5	2780	460673
6	3289	466595
7	3897	483228
8	4396	484153
9	4797	474944
10	5206	468086
11	5601	461208
12	6003	455830
13	6430	452888
14	6806	446943
15	7199	442745
16	7589	438843
17	7982	435501
18	8373	432315
19	8767	429596
20	9174	427723
21	9584	426057
22	10130	430317
23	10861	441695
24	11567	451119
25	12146	455038
26	12933	466100
27	13740	476974
28	14475	484684
29	14962	483787
30	15616	488142
31	16418	496672
32	17041	499379
33	17636	501088
34	18232	502682
35	18821	504004
36	19848	516598
37	20987	531326
38	21605	532388
39	22080	529929
40	22595	528519
41	23024	525171
42	23614	525555
43	24168	525126
44	24628	522662
45	25061	519762
46	25498	517021
47	25923	514145
48	26371	511825
49	26801	509221
50	27207	506275
51	27611	503381
52	28007	500431
53	28400	497541
54	28804	494905
55	29203	492287
56	29607	489825
57	30003	487298
58	30402	484890
59	30799	482531
60	31192	480162
61	31589	477918
62	31980	475652
63	32374	473470
64	32770	471393
65	33169	469397
66	33551	467210
67	33945	465252
68	34336	463298
69	34730	461421
70	35131	459678
71	35525	457890
72	35924	456185
73	36322	454519
74	36714	452810
75	37106	451141
76	37495	449457
77	37886	447832
78	38287	446364
79	38682	444853
80	39089	443492
81	39481	441994
82	39879	440595
83	40272	439162
84	40668	437788
85	41058	436369
86	41453	435025
87	41846	433683
88	42244	432413
89	42634	431079
90	43027	429802
91	43420	428541
92	43809	427264
93	44199	426008
94	44599	424868
95	44990	423662
96	45385	422508
97	45779	421356
98	46178	420271
99	46646	419821
100	47049	418786
101	47442	417680
102	47830	416546
103	48220	415434
104	48734	415405
105	49121	414287
106	49550	413541
107	50151	414212
108	50558	413279
109	50947	412213
110	51400	411668
111	51781	410550
112	52173	409541
113	52575	408616
114	52964	407594
115	53354	406597
116	53742	405594
117	54139	404668
118	54545	403816
119	54925	402784
120	55310	401803
121	55704	400889
122	56090	399932
123	56486	399052
124	56865	398055
125	57260	397186
126	57650	396289
127	58034	395359
128	58426	394489
129	58814	393603
130	59202	392725
131	59597	391897
132	59991	391074
133	60376	390193
134	60769	389375
135	61155	388515
136	61543	387681
137	61927	386819
138	62314	385993
139	62709	385218
140	63105	384448
141	63490	383623
142	63885	382868
143	64269	382048
144	64661	381279
145	65045	380473
146	65433	379694
147	65825	378940
148	66218	378202
149	66603	377419
150	66998	376701
151	67393	375985
152	67786	375260
153	68184	374572
154	68579	373866
155	68969	373142
156	69372	372490
157	69781	371872
158	70171	371161
159	70571	370502
160	70973	369854
161	71357	369122
162	71746	368414
163	72147	367774
164	72538	367087
165	72929	366405
166	73327	365759
167	73724	365111
168	74115	364436
169	74588	364167
170	74986	363530
171	75377	362864
172	75762	362171
173	76153	361509
174	76548	360871
175	76936	360202
176	77327	359552
177	77721	358916
178	78117	358291
179	78511	357661
180	78896	356993
181	79288	356360
182	79681	355734
183	80063	355063
184	80459	354456
185	80844	353804
186	81233	353171
187	81628	352564
188	82140	352465
189	82732	352702
190	83149	352189
191	83541	351571
192	83934	350959
193	84328	350356
194	84722	349751
195	85121	349173
196	85515	348574
197	85914	347998
198	86309	347408
199	86704	346817
200	87097	346224
201	87505	345691
202	87893	345077
203	88278	344459
204	88677	343894
205	89089	343385
206	89484	342808
207	89888	342266
208	90284	341697
209	90682	341138
210	91075	340561
211	91467	339981
212	91857	339397
213	92239	338786
214	92625	338190
215	93016	337616
216	93404	337032
217	93795	336459
218	94182	335873
219	94573	335306
220	94971	334764
221	95358	334184
222	95745	333605
223	96137	333047
224	96527	332483
225	96919	331927
226	97308	331364
227	97691	330780
228	98081	330220
229	98470	329660
230	98862	329112
231	99250	328555
232	99730	328298
233	100121	327747
234	100504	327173
235	100896	326632
236	101283	326074
237	101669	325513
238	102066	324989
239	102454	324438
240	102834	323863
241	103222	323317
242	103612	322775
243	103999	322228
244	104388	321686
245	104782	321161
